iter	Passed	Remaining
380	3176	9329
381	3181	9311
382	3187	9296
383	3194	9284
384	3201	9271
385	3205	9252
386	3210	9234
387	3215	9216
388	3221	9201
389	3226	9183
390	3231	9166
391	3237	9149
392	3244	9138
393	3259	9149
394	3270	9148
395	3277	9136
396	3286	9129
397	3291	9114
398	3297	9100
399	3303	9084
400	3308	9067
401	3313	9051
402	3323	9047
403	3329	9031
404	3339	9028
405	3345	9014
406	3353	9005
407	3363	9001
408	3372	8995
409	3378	8982
410	3386	8972
411	3395	8965
412	3404	8959
413	3414	8958
414	3427	8962
415	3445	8978
416	3459	8985
417	3474	8993
418	3489	9003
419	3502	9006
420	3520	9022
421	3528	9014
422	3540	9014
423	3546	8999
424	3551	8984
425	3557	8970
426	3567	8965
427	3579	8966
428	3590	8963
429	3600	8958
430	3607	8947
431	3615	8937
432	3621	8923
433	3629	8914
434	3634	8899
435	3647	8901
436	3664	8913
437	3689	8946
438	3705	8954
439	3717	8955
440	3722	8939
441	3729	8927
442	3742	8929
443	3764	8954
444	3771	8940
445	3781	8937
446	3793	8935
447	3799	8922
448	3807	8912
449	3815	8901
450	3822	8889
451	3830	8881
452	3837	8870
453	3845	8859
454	3857	8860
455	3870	8862
456	3877	8849
457	3886	8842
458	3893	8831
459	3901	8820
460	3908	8809
461	3917	8801
462	3937	8819
463	3951	8823
464	3971	8840
465	3982	8836
466	3989	8824
467	3996	8813
468	4002	8799
469	4010	8789
470	4027	8798
471	4043	8805
472	4051	8797
473	4060	8789
474	4069	8782
475	4081	8780
476	4092	8777
477	4101	8768
478	4109	8759
479	4117	8749
480	4125	8740
481	4133	8729
482	4143	8724
483	4160	8733
484	4174	8736
485	4184	8731
486	4193	8723
487	4205	8720
488	4213	8710
489	4220	8699
490	4227	8686
491	4234	8675
492	4242	8664
493	4252	8660
494	4263	8655
495	4269	8643
496	4276	8631
497	4283	8618
498	4290	8607
499	4297	8595
500	4305	8585
501	4315	8579
502	4322	8567
503	4329	8556
504	4337	8545
505	4344	8534
506	4352	8525
507	4365	8524
508	4374	8516
509	4398	8537
510	4406	8529
511	4420	8529
512	4433	8530
513	4453	8542
514	4474	8557
515	4488	8559
516	4499	8554
517	4508	8547
518	4520	8544
519	4532	8541
520	4545	8541
521	4556	8536
522	4575	8547
523	4587	8545
524	4600	8543
525	4607	8530
526	4614	8519
527	4621	8507
528	4629	8497
529	4636	8486
530	4645	8477
531	4652	8464
532	4659	8453
533	4669	8446
534	4684	8449
535	4692	8439
536	4700	8430
537	4711	8424
538	4717	8411
539	4724	8399
540	4731	8387
541	4738	8375
542	4747	8366
543	4756	8358
544	4762	8344
545	4767	8330
546	4774	8318
547	4779	8303
548	4785	8289
549	4791	8276
550	4796	8261
551	4801	8246
552	4807	8232
553	4812	8218
554	4818	8203
555	4823	8189
556	4828	8174
557	4833	8159
558	4838	8145
559	4844	8131
560	4849	8117
561	4854	8103
562	4868	8102
563	4874	8089
564	4891	8095
565	4905	8095
566	4914	8086
567	4921	8075
568	4926	8060
569	4931	8046
570	4940	8037
571	4945	8023
572	4951	8010
573	4958	7999
574	4964	7986
575	4971	7975
576	4977	7962
577	4983	7949
578	4990	7937
579	4996	7925
580	5002	7912
581	5007	7899
582	5016	7890
583	5022	7877
584	5028	7864
585	5033	7851
586	5039	7837
587	5045	7825
588	5052	7814
589	5057	7801
590	5064	7789
591	5071	7778
592	5078	7767
593	5085	7756
594	5094	7749
595	5110	7751
596	5117	7740
597	5123	7728
598	5129	7716
599	5135	7703
600	5141	7691
601	5147	7678
602	5153	7666
603	5159	7654
604	5165	7641
605	5171	7629
606	5178	7617
607	5184	7605
608	5194	7600
609	5201	7588
610	5209	7579
611	5215	7567
612	5223	7558
613	5229	7546
614	5235	7534
615	5242	7522
616	5248	7511
617	5255	7500
618	5263	7491
619	5271	7481
620	5277	7469
621	5283	7457
622	5292	7449
623	5300	7440
624	5309	7433
625	5317	7424
626	5327	7417
627	5337	7411
628	5344	7401
629	5353	7392
630	5360	7382
631	5368	7373
632	5376	7364
633	5387	7359
634	5394	7348
635	5408	7346
636	5422	7345
637	5429	7335
638	5435	7323
639	5441	7312
640	5448	7301
641	5455	7290
642	5462	7280
643	5468	7268
644	5475	7258
645	5487	7253
646	5496	7246
647	5503	7236
648	5512	7228
649	5525	7225
650	5534	7217
651	5544	7210
652	5550	7199
653	5555	7186
654	5563	7177
655	5571	7167
656	5576	7155
657	5584	7146
658	5589	7133
659	5608	7138
660	5624	7138
661	5636	7135
662	5642	7123
663	5654	7119
664	5663	7111
665	5682	7116
666	5690	7107
667	5701	7101
668	5713	7097
669	5723	7090
670	5731	7080
671	5739	7071
672	5747	7063
673	5766	7066
674	5783	7068
675	5796	7065
676	5810	7063
677	5828	7066
678	5849	7073
679	5856	7062
680	5863	7051
681	5871	7041
682	5878	7031
683	5887	7023
684	5903	7023
685	5931	7038
686	5940	7030
687	5949	7022
688	5958	7013
689	5967	7005
690	5975	6996
691	5984	6987
692	5992	6978
693	6003	6972
694	6016	6968
695	6024	6959
696	6033	6951
697	6041	6942
698	6050	6933
699	6065	6931
700	6072	6921
701	6085	6917
702	6097	6912
703	6106	6904
704	6114	6895
705	6122	6885
706	6132	6878
707	6139	6867
708	6145	6856
709	6152	6845
710	6159	6834
711	6164	6822
712	6171	6811
713	6177	6800
714	6184	6789
715	6190	6778
716	6196	6766
717	6203	6756
718	6210	6746
719	6216	6734
720	6222	6723
721	6228	6712
722	6235	6700
723	6243	6691
724	6251	6682
725	6257	6670
726	6262	6659
727	6269	6647
728	6274	6636
729	6280	6624
730	6287	6614
731	6293	6602
732	6299	6591
733	6307	6582
734	6318	6576
735	6325	6565
736	6334	6557
737	6341	6548
738	6350	6540
739	6365	6537
740	6373	6527
741	6379	6516
742	6388	6508
743	6395	6498
744	6400	6486
745	6406	6475
746	6415	6467
747	6421	6456
748	6427	6444
749	6435	6435
750	6457	6440
751	6466	6431
752	6474	6423
753	6483	6414
754	6496	6410
755	6511	6408
756	6526	6406
757	6535	6397
758	6552	6396
759	6566	6393
760	6579	6389
761	6589	6381
762	6605	6380
763	6617	6375
764	6632	6372
765	6645	6368
766	6657	6361
767	6673	6360
768	6692	6362
769	6700	6352
770	6714	6348
771	6726	6343
772	6742	6341
773	6748	6329
774	6757	6321
775	6770	6316
776	6784	6313
777	6790	6301
778	6800	6294
779	6810	6286
780	6820	6279
781	6827	6268
782	6835	6259
783	6847	6253
784	6854	6243
785	6860	6232
786	6870	6224
787	6878	6214
788	6885	6204
789	6890	6192
790	6895	6180
791	6901	6169
792	6915	6165
793	6931	6163
794	6940	6154
795	6951	6147
796	6957	6137
797	6963	6125
798	6974	6119
799	6981	6108
800	6987	6097
801	6992	6086
802	7003	6079
803	7011	6069
804	7018	6059
805	7023	6047
806	7030	6037
807	7045	6033
808	7066	6035
809	7077	6028
810	7082	6017
811	7088	6006
812	7095	5996
813	7103	5986
814	7112	5977
815	7118	5967
816	7124	5956
817	7133	5947
818	7142	5938
819	7153	5932
820	7162	5923
821	7190	5931
822	7200	5923
823	7207	5913
824	7215	5903
825	7222	5893
826	7230	5883
827	7239	5875
828	7247	5865
829	7255	5856
830	7264	5848
831	7273	5839
832	7282	5831
833	7289	5821
834	7297	5811
835	7305	5802
836	7314	5793
837	7321	5783
838	7329	5774
839	7335	5763
840	7343	5754
841	7350	5744
842	7358	5734
843	7365	5725
844	7372	5714
845	7379	5704
846	7388	5696
847	7395	5686
848	7402	5675
849	7418	5672
850	7435	5670
851	7451	5667
852	7465	5662
853	7482	5660
854	7497	5656
855	7515	5654
856	7537	5655
857	7548	5648
858	7554	5637
859	7563	5628
860	7571	5619
861	7578	5609
862	7584	5597
863	7590	5587
864	7597	5577
865	7604	5566
866	7610	5556
867	7618	5547
868	7629	5540
869	7637	5530
870	7654	5527
871	7666	5521
872	7681	5516
873	7712	5523
874	7731	5522
875	7751	5521
876	7764	5515
877	7771	5505
878	7778	5495
879	7786	5485
880	7793	5475
881	7804	5468
882	7818	5463
883	7826	5454
884	7834	5444
885	7845	5437
886	7856	5429
887	7865	5420
888	7872	5410
889	7880	5401
890	7888	5391
891	7895	5381
892	7907	5375
893	7916	5366
894	7924	5356
895	7932	5347
896	7945	5341
897	7953	5331
898	7961	5322
899	7967	5311
900	7974	5301
901	7981	5291
902	7988	5281
903	7994	5270
904	8002	5261
905	8008	5250
906	8016	5240
907	8024	5232
908	8033	5223
909	8046	5216
910	8053	5206
911	8061	5197
912	8069	5188
913	8076	5178
914	8084	5168
915	8091	5158
916	8098	5149
917	8105	5138
918	8111	5128
919	8118	5117
920	8124	5107
921	8135	5099
922	8144	5091
923	8154	5083
924	8161	5073
925	8168	5063
926	8174	5052
927	8180	5042
928	8192	5035
929	8201	5026
930	8210	5018
931	8217	5008
932	8223	4997
933	8229	4987
934	8234	4976
935	8239	4964
936	8244	4953
937	8249	4942
938	8254	4931
939	8258	4920
940	8264	4909
941	8268	4898
942	8274	4887
943	8279	4876
944	8284	4865
945	8289	4854
946	8294	4843
947	8299	4832
948	8304	4821
949	8309	4810
950	8314	4799
951	8319	4788
952	8323	4777
953	8331	4768
954	8342	4760
955	8348	4750
956	8354	4740
957	8360	4729
958	8365	4719
959	8370	4708
960	8377	4698
961	8383	4688
962	8389	4677
963	8394	4667
964	8399	4656
965	8404	4645
966	8409	4634
967	8413	4624
968	8419	4613
969	8424	4602
970	8428	4592
971	8433	4581
972	8439	4570
973	8443	4560
974	8448	4549
975	8453	4538
976	8458	4528
977	8463	4517
978	8467	4506
979	8472	4495
980	8477	4485
981	8482	4474
982	8487	4463
983	8491	4452
984	8497	4442
985	8506	4434
986	8512	4424
987	8520	4415
988	8532	4408
989	8541	4399
990	8548	4390
991	8557	4382
992	8563	4372
993	8570	4362
994	8578	4353
995	8586	4344
996	8593	4335
997	8599	4325
998	8605	4315
999	8610	4305
1000	8615	4295
1001	8622	4285
1002	8627	4274
1003	8635	4265
1004	8641	4256
1005	8648	4246
1006	8655	4237
1007	8663	4228
1008	8669	4218
1009	8674	4208
1010	8683	4200
1011	8690	4190
1012	8696	4180
1013	8704	4172
1014	8713	4163
1015	8722	4155
1016	8733	4147
1017	8741	4138
1018	8754	4132
1019	8763	4123
1020	8770	4114
1021	8780	4106
1022	8793	4100
1023	8799	4090
1024	8806	4081
1025	8812	4071
1026	8820	4062
1027	8829	4053
1028	8836	4044
1029	8851	4039
1030	8858	4029
1031	8868	4021
1032	8875	4012
1033	8883	4003
1034	8890	3994
1035	8899	3985
1036	8908	3977
1037	8922	3971
1038	8933	3963
1039	8945	3956
1040	8960	3950
1041	8970	3942
1042	8984	3936
1043	8990	3926
1044	8995	3916
1045	8999	3906
1046	9009	3898
1047	9016	3888
1048	9021	3878
1049	9026	3868
1050	9031	3858
1051	9040	3850
1052	9044	3839
1053	9050	3829
1054	9056	3819
1055	9062	3810
1056	9071	3801
1057	9077	3792
1058	9084	3782
1059	9091	3773
1060	9100	3765
1061	9116	3759
1062	9122	3750
1063	9128	3740
1064	9135	3731
1065	9143	3722
1066	9155	3715
1067	9164	3706
1068	9169	3696
1069	9174	3686
1070	9186	3679
1071	9194	3670
1072	9202	3662
1073	9207	3652
1074	9215	3643
1075	9220	3633
1076	9229	3624
1077	9235	3615
1078	9240	3605
1079	9247	3596
1080	9252	3586
1081	9261	3577
1082	9268	3568
1083	9276	3560
1084	9283	3550
1085	9295	3543
1086	9301	3534
1087	9309	3525
1088	9314	3515
1089	9320	3505
1090	9328	3497
1091	9334	3487
1092	9339	3477
1093	9345	3468
1094	9351	3458
1095	9362	3451
1096	9373	3443
1097	9378	3433
1098	9387	3425
1099	9393	3415
1100	9400	3406
1101	9407	3397
1102	9414	3388
1103	9423	3380
1104	9428	3370
1105	9436	3361
1106	9442	3352
1107	9452	3344
1108	9457	3334
1109	9466	3326
1110	9472	3316
1111	9481	3308
1112	9493	3301
1113	9502	3292
1114	9507	3282
1115	9516	3274
1116	9525	3265
1117	9546	3261
1118	9552	3252
1119	9558	3243
1120	9565	3233
1121	9571	3224
1122	9579	3215
1123	9585	3206
1124	9592	3197
1125	9599	3188
1126	9605	3179
1127	9613	3170
1128	9619	3161
1129	9628	3152
1130	9638	3144
1131	9647	3136
1132	9655	3127
1133	9662	3118
1134	9669	3109
1135	9677	3100
1136	9684	3092
1137	9691	3082
1138	9697	3073
1139	9703	3064
1140	9711	3055
1141	9724	3048
1142	9733	3039
1143	9740	3030
1144	9746	3021
1145	9758	3014
1146	9765	3005
1147	9772	2996
1148	9781	2988
1149	9788	2979
1150	9794	2969
1151	9801	2960
1152	9807	2951
1153	9813	2942
1154	9820	2933
1155	9827	2924
1156	9833	2915
1157	9839	2906
1158	9846	2897
1159	9852	2887
1160	9860	2879
1161	9868	2870
1162	9874	2861
1163	9881	2852
1164	9889	2843
1165	9897	2835
1166	9904	2826
1167	9909	2816
1168	9914	2807
1169	9926	2799
1170	9932	2790
1171	9938	2781
1172	9944	2772
1173	9951	2763
1174	9959	2754
1175	9965	2745
1176	9971	2736
1177	9976	2727
1178	9982	2717
1179	9987	2708
1180	9993	2699
1181	9999	2690
1182	10004	2680
1183	10012	2672
1184	10018	2663
1185	10023	2653
1186	10028	2644
1187	10033	2635
1188	10038	2625
1189	10043	2616
1190	10048	2607
1191	10053	2597
1192	10058	2588
1193	10063	2579
1194	10068	2569
1195	10073	2560
1196	10078	2551
1197	10083	2541
1198	10088	2532
1199	10093	2523
1200	10098	2514
1201	10103	2504
1202	10111	2496
1203	10117	2487
1204	10126	2479
1205	10133	2470
1206	10139	2461
1207	10144	2452
1208	10150	2443
1209	10157	2434
1210	10163	2425
1211	10168	2416
1212	10173	2407
1213	10178	2397
1214	10183	2388
1215	10188	2379
1216	10193	2370
1217	10198	2361
1218	10203	2351
1219	10207	2342
1220	10212	2333
1221	10217	2324
1222	10222	2315
1223	10227	2306
1224	10232	2297
1225	10237	2287
1226	10243	2279
1227	10248	2269
1228	10252	2260
1229	10258	2251
1230	10263	2242
1231	10269	2233
1232	10273	2224
1233	10278	2215
1234	10283	2206
1235	10288	2197
1236	10293	2188
1237	10298	2179
1238	10304	2170
1239	10311	2162
1240	10317	2153
1241	10323	2144
1242	10331	2136
1243	10339	2127
1244	10346	2119
1245	10350	2110
1246	10356	2101
1247	10361	2092
1248	10367	2083
1249	10374	2074
1250	10379	2065
1251	10384	2057
1252	10390	2048
1253	10400	2040
1254	10408	2031
1255	10414	2023
1256	10421	2014
1257	10428	2006
1258	10436	1997
1259	10444	1989
1260	10450	1980
1261	10465	1973
1262	10472	1965
1263	10489	1958
1264	10496	1950
1265	10505	1941
1266	10520	1934
1267	10541	1928
1268	10550	1920
1269	10557	1911
1270	10563	1903
1271	10570	1894
1272	10577	1886
1273	10583	1877
1274	10588	1868
1275	10593	1859
1276	10598	1850
1277	10602	1841
1278	10607	1832
1279	10611	1823
1280	10616	1814
1281	10620	1806
1282	10625	1797
1283	10629	1788
1284	10634	1779
1285	10639	1770
1286	10645	1761
1287	10652	1753
1288	10659	1744
1289	10665	1736
1290	10670	1727
1291	10678	1719
1292	10689	1711
1293	10697	1703
1294	10709	1695
1295	10728	1688
1296	10735	1680
1297	10740	1671
1298	10747	1663
1299	10757	1654
1300	10765	1646
1301	10773	1638
1302	10782	1630
1303	10798	1623
1304	10815	1616
1305	10844	1610
1306	10860	1603
1307	10873	1596
1308	10885	1588
1309	10901	1581
1310	10908	1572
1311	10924	1565
1312	10940	1558
1313	10946	1549
1314	10957	1541
1315	10968	1533
1316	10974	1524
1317	10981	1516
1318	10988	1507
1319	10993	1499
1320	10999	1490
1321	11005	1481
1322	11014	1473
1323	11043	1467
1324	11055	1460
1325	11067	1452
1326	11074	1443
1327	11089	1436
1328	11098	1428
1329	11112	1420
1330	11123	1412
1331	11133	1404
1332	11143	1396
1333	11153	1387
1334	11162	1379
1335	11172	1371
1336	11179	1362
1337	11190	1354
1338	11200	1346
1339	11206	1338
1340	11218	1330
1341	11229	1322
1342	11236	1313
1343	11245	1305
1344	11252	1296
1345	11260	1288
1346	11266	1279
1347	11277	1271
1348	11300	1264
1349	11320	1257
1350	11339	1250
1351	11348	1242
1352	11357	1233
1353	11365	1225
1354	11375	1217
1355	11383	1208
1356	11392	1200
1357	11399	1191
1358	11407	1183
1359	11413	1174
1360	11419	1166
1361	11433	1158
1362	11439	1149
1363	11445	1141
1364	11453	1132
1365	11461	1124
1366	11468	1115
1367	11479	1107
1368	11493	1099
1369	11508	1092
1370	11529	1084
1371	11541	1076
1372	11558	1069
1373	11568	1060
1374	11578	1052
1375	11589	1044
1376	11602	1036
1377	11609	1027
1378	11622	1019
1379	11629	1011
1380	11639	1002
1381	11647	994
1382	11655	986
1383	11662	977
1384	11670	968
1385	11679	960
1386	11690	952
1387	11703	944
1388	11711	935
1389	11721	927
1390	11738	919
1391	11750	911
1392	11767	903
1393	11782	895
1394	11796	887
1395	11805	879
1396	11819	871
1397	11833	863
1398	11847	855
1399	11858	847
1400	11866	838
1401	11876	830
1402	11885	821
1403	11892	813
1404	11900	804
1405	11909	796
1406	11924	788
1407	11941	780
1408	11955	772
1409	11970	764
1410	11978	755
1411	11984	746
1412	11995	738
1413	12002	730
1414	12017	721
1415	12031	713
1416	12044	705
1417	12060	697
1418	12071	689
1419	12079	680
1420	12087	672
1421	12094	663
1422	12111	655
1423	12122	646
1424	12137	638
1425	12149	630
1426	12160	622
1427	12170	613
1428	12180	605
1429	12187	596
1430	12197	588
1431	12210	579
1432	12217	571
1433	12225	562
1434	12232	554
1435	12241	545
1436	12249	537
1437	12266	528
1438	12284	520
1439	12294	512
1440	12310	504
1441	12317	495
1442	12323	486
1443	12337	478
1444	12351	470
1445	12370	461
1446	12376	453
1447	12388	444
1448	12402	436
1449	12416	428
1450	12426	419
1451	12437	411
1452	12446	402
1453	12453	393
1454	12466	385
1455	12486	377
1456	12502	368
1457	12509	360
1458	12515	351
1459	12540	343
1460	12547	334
1461	12556	326
1462	12571	317
1463	12579	309
1464	12594	300
1465	12600	292
1466	12615	283
1467	12625	275
1468	12635	266
1469	12643	258
1470	12649	249
1471	12659	240
1472	12665	232
1473	12674	223
1474	12682	214
1475	12692	206
1476	12701	197
1477	12706	189
1478	12721	180
1479	12729	172
1480	12744	163
1481	12757	154
1482	12766	146
1483	12775	137
1484	12784	129
1485	12794	120
1486	12807	111
1487	12813	103
1488	12820	94
1489	12827	86
1490	12835	77
1491	12842	68
1492	12850	60
1493	12862	51
1494	12873	43
1495	12883	34
1496	12889	25
1497	12907	17
1498	12914	8
1499	12922	0
